Gene.Name,Presence.,Bigg.ID.Name,essential,beta,zscore,p.value,fdr
A4GALT,TRUE,53947_AT1,1,-0.10985,-0.92328,0.00024886,0.0014458
AACS,TRUE,65985_AT1,0,0.16067,1.2582,0.090668,0.19042
AADAC,TRUE,13_AT1,0,-0.02314,-0.25472,0.074658,0.16379
AADAT,TRUE,51166_AT1,0,0.059995,0.6344,0.93165,0.95812
AASS,TRUE,10157_AT1,0,-0.02127,-0.16418,0.082372,0.17685
ABAT,TRUE,18_AT1,1,-0.066658,-0.95423,0.0036499,0.013729
ABCA1,TRUE,19_AT1,0,0.029024,0.31814,0.57014,0.71408
ABCA3,TRUE,21_AT1,0,0.10938,0.96059,0.32899,0.49328
ABCA4,TRUE,24_AT1,1,-0.07621,-0.93693,0.0023227,0.0096886
ABCA8,TRUE,10351_AT1,0,0.13287,1.7658,0.18772,0.33601
ABCB1,TRUE,5243_AT1,0,0.11019,1.2461,0.3226,0.48655
ABCB11,TRUE,8647_AT1,0,0.222,1.643,0.01319,0.041732
ABCB4,TRUE,5244_AT1,0,-0.0016844,-0.019438,0.20008,0.34957
ABCB6,TRUE,10058_AT1,0,0.072094,0.68736,0.74442,0.84144
ABCC1,TRUE,4363_AT1,0,0.1964,1.5114,0.030859,0.083389
ABCC11,TRUE,85320_AT1,0,-0.020946,-0.23965,0.083534,0.17886
ABCC2,TRUE,1244_AT1,0,0.17196,1.7309,0.0618,0.14299
ABCC3,TRUE,8714_AT1,0,0.065509,0.66379,0.84247,0.90325
ABCC4,TRUE,10257_AT1,0,0.13652,1.5328,0.16956,0.31111
ABCC5,TRUE,10057_AT1,0,0.10068,0.76626,0.40182,0.56955
ABCC8,TRUE,6833_AT1,0,0.075732,0.69703,0.69639,0.80964
ABCC9,TRUE,10060_AT1,0,0.1179,1.4745,0.27159,0.43336
ABCD1,TRUE,215_AT1,0,0.099954,0.86067,0.40896,0.57661
ABCD2,TRUE,225_AT1,0,0.060482,0.86724,0.92343,0.95227
ABCD3,TRUE,5825_AT1,0,0.056745,0.61221,0.98648,0.99017
ABCG2,TRUE,9429_AT1,0,0.10772,0.82444,0.34193,0.50857
ABCG5,TRUE,64240_AT1,0,0.085316,0.84831,0.57528,0.71828
ABHD5,TRUE,51099_AT1,0,0.054901,0.7234,0.982,0.98815
ACAA1,TRUE,30_AT1,0,0.027036,0.30211,0.53621,0.69044
ACAA2,TRUE,10449_AT1,0,0.026721,0.26012,0.53123,0.68676
ACACA,TRUE,31_AT1,1,-0.22169,-2.4616,0,0
ACACB,TRUE,32_AT1,0,-0.030487,-0.43664,0.050767,0.12339
ACAD10,TRUE,80724_AT1,0,0.20297,1.3472,0.025964,0.07237
ACAD11,TRUE,84129_AT1,0,-0.013536,-0.22571,0.11746,0.23377
ACAD8,TRUE,27034_AT1,0,0.08715,0.55903,0.54965,0.69774
ACAD9,TRUE,28976_AT1,0,0.075041,0.82842,0.70386,0.81469
ACADL,TRUE,33_AT1,0,0.19061,0.90941,0.036168,0.093864
ACADM,TRUE,34_AT1,0,0.084486,0.97882,0.58507,0.72742
